0,1,2,3,4
29.0,531.0,362.0,625.0,406.0
29.0,640.0,202.0,776.0,251.0
29.0,627.0,397.0,804.0,487.0
29.0,940.0,439.0,1015.0,480.0
29.0,314.0,143.0,815.0,519.0
30.0,327.0,177.0,553.0,474.0
30.0,530.0,362.0,625.0,406.0
30.0,640.0,202.0,776.0,251.0
30.0,627.0,397.0,804.0,486.0
30.0,314.0,144.0,802.0,512.0
30.0,940.0,439.0,1015.0,479.0
31.0,326.0,173.0,559.0,473.0
31.0,529.0,362.0,625.0,406.0
31.0,640.0,202.0,776.0,251.0
31.0,369.0,225.0,519.0,452.0
31.0,627.0,397.0,804.0,486.0
31.0,305.0,119.0,787.0,576.0
31.0,940.0,439.0,1015.0,479.0
32.0,528.0,362.0,625.0,406.0
32.0,325.0,169.0,564.0,473.0
32.0,640.0,202.0,776.0,250.0
32.0,627.0,397.0,804.0,487.0
32.0,362.0,225.0,517.0,451.0
32.0,306.0,118.0,787.0,577.0
32.0,940.0,439.0,1015.0,479.0
33.0,526.0,362.0,625.0,406.0
33.0,324.0,167.0,572.0,471.0
33.0,640.0,202.0,776.0,250.0
33.0,366.0,220.0,523.0,451.0
33.0,940.0,439.0,1015.0,479.0
33.0,305.0,118.0,789.0,576.0
33.0,618.0,393.0,792.0,491.0
34.0,525.0,362.0,625.0,406.0
34.0,323.0,164.0,581.0,469.0
34.0,640.0,202.0,776.0,250.0
34.0,356.0,217.0,520.0,453.0
34.0,626.0,397.0,804.0,487.0
34.0,940.0,439.0,1015.0,479.0
34.0,306.0,119.0,790.0,562.0
35.0,323.0,162.0,583.0,468.0
35.0,524.0,361.0,625.0,406.0
35.0,640.0,202.0,776.0,250.0
35.0,361.0,217.0,524.0,450.0
35.0,940.0,438.0,1016.0,480.0
35.0,626.0,397.0,803.0,486.0
35.0,306.0,120.0,783.0,548.0
36.0,523.0,361.0,625.0,406.0
36.0,323.0,161.0,585.0,470.0
36.0,640.0,202.0,776.0,250.0
36.0,627.0,397.0,803.0,486.0
36.0,940.0,439.0,1016.0,480.0
36.0,306.0,120.0,782.0,550.0
36.0,358.0,223.0,521.0,446.0
37.0,322.0,159.0,591.0,472.0
37.0,523.0,361.0,625.0,405.0
37.0,640.0,202.0,776.0,250.0
37.0,307.0,119.0,784.0,552.0
37.0,626.0,397.0,803.0,487.0
37.0,939.0,439.0,1015.0,479.0
37.0,346.0,230.0,517.0,455.0
38.0,328.0,154.0,594.0,474.0
38.0,522.0,361.0,626.0,405.0
38.0,640.0,202.0,776.0,250.0
38.0,348.0,217.0,522.0,454.0
38.0,626.0,397.0,803.0,487.0
38.0,308.0,119.0,781.0,552.0
38.0,939.0,439.0,1016.0,478.0
39.0,327.0,153.0,596.0,476.0
39.0,522.0,361.0,625.0,405.0
39.0,640.0,202.0,776.0,250.0
39.0,307.0,119.0,778.0,550.0
39.0,626.0,397.0,803.0,487.0
39.0,349.0,218.0,523.0,455.0
39.0,940.0,439.0,1016.0,480.0
40.0,327.0,152.0,600.0,478.0
40.0,521.0,361.0,625.0,405.0
40.0,640.0,202.0,776.0,250.0
40.0,307.0,119.0,781.0,552.0
40.0,627.0,398.0,803.0,485.0
40.0,350.0,220.0,522.0,456.0
41.0,327.0,152.0,603.0,479.0
41.0,521.0,360.0,625.0,405.0
41.0,640.0,202.0,776.0,250.0
41.0,307.0,118.0,789.0,557.0
41.0,627.0,397.0,803.0,486.0
41.0,940.0,439.0,1015.0,479.0
41.0,349.0,222.0,524.0,457.0
42.0,326.0,152.0,607.0,479.0
42.0,640.0,202.0,776.0,250.0
42.0,521.0,360.0,625.0,405.0
42.0,306.0,117.0,787.0,559.0
42.0,940.0,439.0,1016.0,480.0
42.0,625.0,397.0,804.0,487.0
42.0,344.0,220.0,528.0,458.0
43.0,326.0,151.0,606.0,480.0
43.0,640.0,202.0,776.0,250.0
43.0,520.0,360.0,625.0,405.0
43.0,306.0,118.0,788.0,561.0
43.0,627.0,397.0,804.0,486.0
43.0,940.0,439.0,1016.0,480.0
43.0,345.0,221.0,526.0,458.0
44.0,326.0,151.0,606.0,480.0
44.0,640.0,202.0,776.0,250.0
44.0,520.0,360.0,625.0,405.0
44.0,307.0,117.0,786.0,564.0
44.0,626.0,397.0,804.0,487.0
45.0,326.0,151.0,605.0,480.0
45.0,640.0,202.0,776.0,250.0
